date,NO2
2020-12-20,4.764491313835606e-05
2020-12-26,5.731666169594973e-05
2020-12-24,6.69884102535434e-05
2020-12-22,5.9696451141159436e-05
2020-12-25,5.240449202877547e-05
2020-12-23,4.51125329163915e-05
2020-12-27,3.782057380400754e-05
2020-12-21,3.0528614691623566e-05
2020-08-31,2.32366555792396e-05
2020-08-30,2.7595300707616843e-05
2020-09-02,2.7473403861222323e-05
2020-09-05,2.7351507014827803e-05
2020-09-01,2.233877194157685e-05
2020-09-06,2.44789644057164e-05
2020-09-04,2.849377597158309e-05
2020-09-03,3.194229429936968e-05
2020-07-09,9.449944263906218e-05
2020-07-05,5.738553227274679e-06
2020-07-06,2.0707809198938776e-05
2020-07-10,3.567706517060287e-05
2020-07-07,1.823832917580148e-05
2020-07-11,3.901401214534417e-05
2020-07-12,2.5514515073155053e-05
2020-07-08,3.953920531785116e-05
2020-11-19,1.4984065273893066e-05
2020-11-18,1.5627943412255263e-05
2020-11-20,2.1335682861588013e-05
2020-11-21,2.7043422310920763e-05
2020-11-22,3.275116176025352e-05
2020-11-25,3.845890120958626e-05
2020-11-24,4.416664065891902e-05
2020-11-23,4.987438010825177e-05
2021-02-19,5.558211955758452e-05
2021-02-15,6.128985900691726e-05
2021-02-17,6.699759845625002e-05
2021-02-21,7.270533790558278e-05
2021-02-14,7.841307735491552e-05
2021-02-20,8.412081680424828e-05
2021-02-16,8.982855625358102e-05
2021-02-18,9.553629570291378e-05
2021-01-08,8.880804691418436e-05
2021-01-12,8.207979812545495e-05
2021-01-09,7.535154933672553e-05
2021-01-10,6.862330054799613e-05
2021-01-07,6.18950517592667e-05
2021-01-11,5.516680297053729e-05
2021-01-06,4.843855418180788e-05
2021-01-05,4.1710305393078466e-05
2021-04-11,3.4982056604349054e-05
2021-04-17,3.811571150436066e-05
2021-04-15,4.643980901164469e-05
2021-04-12,3.832572429018911e-05
2021-04-16,3.021163956873352e-05
2021-04-13,2.9129080454974126e-05
2021-04-14,2.8046521341214735e-05
2021-04-18,2.696396222745534e-05
2021-01-13,2.6485454820128023e-05
2021-01-15,2.6006947412800702e-05
2021-01-18,2.5528440005473385e-05
2021-01-14,2.5049932598146068e-05
2021-01-17,2.4571425190818747e-05
2021-01-20,2.409291778349143e-05
2021-01-16,2.3614410376164113e-05
2021-01-19,2.3135902968836792e-05
2020-06-01,2.2657395561509475e-05
2020-06-02,2.2178888154182154e-05
2020-05-31,2.1700380746854837e-05
2020-10-01,2.122187333952752e-05
2020-10-03,1.8026702491624743e-05
2020-10-02,1.794606760086026e-05
2020-10-04,3.5533917071006726e-05
2020-10-05,5.312176654115319e-05
2020-08-18,1.33203539007809e-05
2020-08-19,2.8222771106811703e-05
2020-08-15,2.3475210582546424e-05
2020-08-20,2.7413183488533832e-05
2020-08-17,3.4735180634015705e-05
2020-08-14,4.205717777949758e-05
2020-08-21,1.8607048332341947e-05
2020-08-16,1.9766157492995266e-05
2021-01-25,2.4749891053943433e-05
2021-01-27,2.9733624614891596e-05
2021-01-26,3.471735817583976e-05
2021-01-21,3.970109173678793e-05
2021-01-22,4.13462864041018e-05
2021-01-23,4.299148107141567e-05
2021-01-24,4.4636675738729537e-05
2021-01-28,4.62818704060434e-05
2021-02-24,4.7927065073357276e-05
2021-02-26,4.957225974067114e-05
2021-02-22,4.88762652821606e-05
2021-02-25,4.818027082365006e-05
2021-02-27,4.748427636513952e-05
2021-02-23,4.678828190662898e-05
2021-02-28,4.609228744811844e-05
2021-03-01,4.53962929896079e-05
2021-03-30,4.470029853109736e-05
2021-04-01,4.400430407258682e-05
2021-03-27,4.330830961407628e-05
2021-03-31,4.261231515556574e-05
2021-03-28,4.19163206970552e-05
2021-03-29,6.818640486017102e-05
2021-03-26,9.445648902328684e-05
2021-04-02,2.428821608191356e-05
2021-03-14,3.2108523252342515e-05
2021-03-15,3.992883042277147e-05
2021-03-12,4.774913759320043e-05
2021-03-16,4.761209856951609e-05
2021-03-17,4.747505954583176e-05
2021-03-13,4.8639815304341034e-05
2021-03-11,4.980457106285031e-05
2021-03-10,5.096932682135958e-05
2021-04-04,5.2134082579868846e-05
2021-04-07,5.329883833837812e-05
2021-04-10,5.446359409688739e-05
2021-04-08,5.5628349855396664e-05
2021-04-05,5.6793105613905936e-05
