NO2_t-1,NO2_t-2,NO2_t-3,NO2
-0.5986899923367293,-0.37230721013758483,-0.14720966849718028,2.428821608191356e-05
-0.8235905140070865,-0.5969433961242377,-0.3717362469653006,4.483600059757009e-05
0.48715943830822467,-0.8215795821108908,-0.5962628254334207,5.0814553105738014e-05
0.8685332749388696,0.4876297869179197,-0.8207894039015408,5.6793105613905936e-05
1.2499071115695144,0.8685553777503603,0.48778115802880984,5.230333522376896e-05
0.9635031773500056,1.2494809685828008,0.8685208825077356,4.781356483363197e-05
0.6770992431304957,0.9634136577699663,1.2492606069866614,4.332379444349499e-05
0.3906953089109864,0.6773463469571309,0.9633328779955794,3.883402405335801e-05
0.10429137469147709,0.39127903614429593,0.6774051490044966,3.690804032885353e-05
-0.018567762415531208,0.10521172533146093,0.3914774200134142,3.4982056604349054e-05
-0.1414268995225395,-0.017503009913936288,0.10554969102233173,3.784649470617296e-05
0.04129655187997212,-0.14021774515933352,-0.01710516759384573,4.071093280799687e-05
0.22402000328248375,0.042290943164388604,-0.1397600262100232,4.357537090982078e-05
0.40674345468499584,0.22479963148811072,0.04265961001218649,4.643980901164469e-05
0.5894669060875074,0.40730831981183324,0.22507924623439618,3.021163956873352e-05
-0.4457333758335416,0.5898170081355554,0.40749888245660626,3.811571150436066e-05
0.05846998024243772,-0.4441665564019138,0.589918518678816,2.696396222745534e-05
-0.652903784739296,0.05944418682521802,-0.44356053064791406,2.735212729021441e-05
-0.6281426073425677,-0.6510934686217793,0.05980448403094691,5.4958965847617947e-05
1.132906730853541,-0.6263613941489032,-0.6503864762970266,4.965523476130329e-05
0.794579975325073,1.1326181036689273,-0.6256664694315986,5.936505112913437e-05
1.4139723643890854,0.7946889987709419,1.1324547633784854,7.141113746911287e-05
2.182396185637653,1.4133533881423415,0.794690545408513,2.3579794287797995e-05
-0.8687809739395712,2.1808740463628475,1.413053067704375,2.766286979749566e-05
-0.6083202402990117,-0.8667169276662523,2.1801992268903616,3.2572537747910246e-05
-0.2951309021985234,-0.6065623252235827,-0.8659047254342911,2.6571897251415063e-05
-0.6779137388906902,-0.29374109261791864,-0.6058770611351062,3.715442562679527e-05
-0.00285076298514206,-0.6760740274508287,-0.29320846448566484,4.773695400217548e-05
0.6722122129204058,-0.0018044833788492742,-0.6753548462747884,3.8676360418321565e-05
0.09423395940427612,0.67246506069313,-0.0014143008956214872,2.961576683446765e-05
-0.48374429411185355,0.09516613097613906,0.6725262444835451,3.559961260179989e-05
-0.1020327987330387,-0.4821327987408518,0.09550899824893727,1.90479127013532e-05
-1.157871195262702,-0.10086994602573268,-0.4815082479856706,1.837092349887825e-05
-1.2010565598058183,-1.1554673682688312,-0.1004314261854342,2.5745152925082948e-05
-0.7306520321841143,-1.198601975113487,-1.1545142750262312,3.75475058262964e-05
0.022223952605709762,-0.7287503350595973,-1.1976278350515672,4.9349858727509854e-05
0.7750999373955338,0.02324076077262939,-0.7280054513488692,6.115221162872331e-05
1.527975922185358,0.7752318566048562,0.02361872284243431,7.295456452993676e-05
2.280851906975182,1.5272229524370828,0.7752428970337377,2.7246216632192954e-05
-0.6348986831543189,2.2792140482693095,1.5268670712250412,4.860305489273742e-05
0.7274610744285311,-0.6331095292413285,2.278491245416345,2.813538321788656e-05
-0.5781784533451043,0.727648985733024,-0.6324113118829076,2.429201140330406e-05
-0.8233484092036306,-0.5764559652655904,0.727683243438223,1.9817990505544003e-05
-1.1087476781091585,-0.8213377618640836,-0.575785391078443,2.726033198996447e-05
-0.6339982598258657,-1.1064015881912015,-0.8205477016469309,2.9400410312518943e-05
-0.4974819576862391,-0.6322101642208523,-1.105472435785985,3.1540488635073416e-05
-0.3609656555466126,-0.4958543158222614,-0.6315123856927459,4.726051884063054e-05
